step,tenant_id,workload_type,gpu_type,gpu_hours,provider_id,accepted,price_usd_per_hour,latency_ms,reason
0,tenant-research,llm_training,H100,4.562,aethir,1,3.5,260.0,ok
0,tenant-research,general_compute,A100,1.515,akash,1,1.8,300.0,ok
0,tenant-research,general_compute,A100,0.63,akash,1,1.8,300.0,ok
0,tenant-research,llm_inference,A100,0.224,akash,1,1.8,300.0,ok
0,tenant-research,llm_training,H100,6.537,aethir,1,3.5,260.0,ok
0,tenant-research,llm_training,H100,4.392,aethir,1,3.5,260.0,ok
0,tenant-research,3d_rendering,RTX4090,2.09,render,1,0.9,420.0,ok
0,tenant-research,llm_training,H100,7.125,aethir,1,3.5,260.0,ok
0,tenant-research,general_compute,A100,0.51,akash,1,1.8,300.0,ok
0,tenant-gaming,general_compute,A100,1.547,akash,1,1.8,300.0,ok
0,tenant-gaming,cloud_gaming,A100,0.655,akash,1,1.8,300.0,ok
0,tenant-gaming,general_compute,A100,1.005,akash,1,1.8,300.0,ok
0,tenant-gaming,cloud_gaming,A100,0.597,akash,1,1.8,300.0,ok
0,tenant-gaming,general_compute,A100,1.406,akash,1,1.8,300.0,ok
0,tenant-gaming,general_compute,A100,1.595,akash,1,1.8,300.0,ok
0,tenant-gaming,llm_inference,A100,0.978,akash,1,1.8,300.0,ok
0,tenant-gaming,cloud_gaming,A100,1.052,akash,1,1.8,300.0,ok
0,tenant-gaming,general_compute,A100,1.428,akash,1,1.8,300.0,ok
0,tenant-gaming,general_compute,A100,1.366,akash,1,1.8,300.0,ok
0,tenant-gaming,llm_inference,A100,0.237,akash,1,1.8,300.0,ok
0,tenant-render,3d_rendering,RTX4090,1.466,vast,1,0.8,380.0,ok
0,tenant-render,3d_rendering,RTX4090,1.556,vast,1,0.8,380.0,ok
0,tenant-render,3d_rendering,RTX4090,1.73,vast,1,0.8,380.0,ok
0,tenant-render,3d_rendering,RTX4090,1.419,vast,1,0.8,380.0,ok
0,tenant-render,3d_rendering,RTX4090,2.873,vast,1,0.8,380.0,ok
0,tenant-render,3d_rendering,RTX4090,2.218,vast,1,0.8,380.0,ok
0,tenant-render,3d_rendering,RTX4090,2.458,render,1,0.9,420.0,ok
0,tenant-render,3d_rendering,RTX4090,1.759,vast,1,0.8,380.0,ok
0,tenant-dao,general_compute,A100,1.46,flux,1,1.7,330.0,ok
0,tenant-dao,llm_inference,A100,0.748,akash,1,1.8,300.0,ok
0,tenant-dao,general_compute,A100,1.664,flux,1,1.7,330.0,ok
0,tenant-dao,llm_inference,A100,0.226,akash,1,1.8,300.0,ok
0,tenant-dao,llm_inference,A100,0.414,akash,1,1.8,300.0,ok
0,tenant-dao,llm_inference,A100,0.954,akash,1,1.8,300.0,ok
0,tenant-dao,general_compute,A100,0.972,akash,1,1.8,300.0,ok
1,tenant-research,general_compute,A100,1.188,akash,1,1.8,300.0,ok
1,tenant-research,llm_training,H100,4.726,aethir,1,3.5,260.0,ok
1,tenant-research,llm_inference,A100,0.41,akash,1,1.8,300.0,ok
1,tenant-research,llm_inference,A100,0.918,akash,1,1.8,300.0,ok
1,tenant-research,llm_inference,A100,0.375,akash,1,1.8,300.0,ok
1,tenant-research,general_compute,A100,1.264,akash,1,1.8,300.0,ok
1,tenant-research,llm_training,H100,3.33,aethir,1,3.5,260.0,ok
1,tenant-research,llm_training,H100,7.392,aethir,1,3.5,260.0,ok
1,tenant-gaming,llm_inference,A100,0.538,akash,1,1.8,300.0,ok
1,tenant-gaming,cloud_gaming,A100,0.882,akash,1,1.8,300.0,ok
1,tenant-gaming,general_compute,A100,1.294,akash,1,1.8,300.0,ok
1,tenant-gaming,general_compute,A100,1.791,akash,1,1.8,300.0,ok
1,tenant-gaming,cloud_gaming,A100,1.221,akash,1,1.8,300.0,ok
1,tenant-gaming,llm_inference,A100,0.63,akash,1,1.8,300.0,ok
1,tenant-gaming,cloud_gaming,A100,1.141,akash,1,1.8,300.0,ok
1,tenant-gaming,cloud_gaming,A100,0.935,akash,1,1.8,300.0,ok
1,tenant-gaming,llm_inference,A100,0.963,akash,1,1.8,300.0,ok
1,tenant-gaming,general_compute,A100,0.895,akash,1,1.8,300.0,ok
1,tenant-render,general_compute,A100,1.806,vast,1,1.4,380.0,ok
1,tenant-render,3d_rendering,RTX4090,2.278,vast,1,0.8,380.0,ok
1,tenant-render,3d_rendering,RTX4090,1.306,vast,1,0.8,380.0,ok
1,tenant-render,general_compute,A100,1.309,vast,1,1.4,380.0,ok
1,tenant-render,general_compute,A100,1.296,vast,1,1.4,380.0,ok
1,tenant-render,3d_rendering,RTX4090,1.648,vast,1,0.8,380.0,ok
1,tenant-dao,llm_inference,A100,0.943,flux,1,1.7,330.0,ok
1,tenant-dao,general_compute,A100,1.747,flux,1,1.7,330.0,ok
1,tenant-dao,llm_inference,A100,0.246,akash,1,1.8,300.0,ok
1,tenant-dao,general_compute,A100,1.92,akash,1,1.8,300.0,ok
1,tenant-dao,llm_inference,A100,0.589,akash,1,1.8,300.0,ok
2,tenant-research,general_compute,A100,0.693,akash,1,1.8,300.0,ok
2,tenant-research,llm_inference,A100,0.64,akash,1,1.8,300.0,ok
2,tenant-research,llm_training,H100,9.107,aethir,1,3.5,260.0,ok
2,tenant-research,llm_inference,A100,0.369,akash,1,1.8,300.0,ok
2,tenant-research,llm_inference,A100,0.784,akash,1,1.8,300.0,ok
2,tenant-research,llm_training,H100,5.182,aethir,1,3.5,260.0,ok
2,tenant-research,general_compute,A100,1.475,akash,1,1.8,300.0,ok
2,tenant-research,llm_inference,A100,0.614,akash,1,1.8,300.0,ok
2,tenant-research,llm_training,H100,4.573,aethir,1,3.5,260.0,ok
2,tenant-research,llm_inference,A100,0.671,akash,1,1.8,300.0,ok
2,tenant-research,llm_training,H100,4.542,aethir,1,3.5,260.0,ok
2,tenant-research,llm_training,H100,7.418,aethir,1,3.5,260.0,ok
2,tenant-research,llm_training,H100,9.338,aethir,1,3.5,260.0,ok
2,tenant-gaming,general_compute,A100,0.606,akash,1,1.8,300.0,ok
2,tenant-gaming,cloud_gaming,A100,1.169,akash,1,1.8,300.0,ok
2,tenant-gaming,cloud_gaming,A100,0.632,akash,1,1.8,300.0,ok
2,tenant-gaming,general_compute,A100,1.357,akash,1,1.8,300.0,ok
2,tenant-gaming,llm_inference,A100,0.828,akash,1,1.8,300.0,ok
2,tenant-gaming,general_compute,A100,0.786,akash,1,1.8,300.0,ok
2,tenant-gaming,cloud_gaming,A100,0.931,akash,1,1.8,300.0,ok
2,tenant-gaming,cloud_gaming,A100,0.967,akash,1,1.8,300.0,ok
2,tenant-gaming,llm_inference,A100,0.739,akash,1,1.8,300.0,ok
2,tenant-gaming,general_compute,A100,0.648,akash,1,1.8,300.0,ok
2,tenant-gaming,cloud_gaming,A100,0.839,akash,1,1.8,300.0,ok
2,tenant-gaming,general_compute,A100,0.873,akash,1,1.8,300.0,ok
2,tenant-gaming,cloud_gaming,A100,0.949,akash,1,1.8,300.0,ok
